State,"Winter_2017
No_of_colonies","Spring_2017
No_of_colonies","Summer_2017
No_of_colonies","Fall_2017
No_of_colonies",2017_No_of_colonies,"Winter_2017
Lost","Spring_2017
Lost","Summer_2017
Lost","Fall_2017
Lost",2017_Lost,"Winter_2017
Per_lost","Spring_2017
Per_lost","Summer_2017
Per_lost","Fall_2017
Per_lost",2017_Per_lost,"Winter_2017
Added","Spring_2017
Added","Summer_2017
Added","Fall_2017
Added",2017_Added,"Winter_2017
Renovated","Spring_2017
Renovated","Summer_2017
Renovated","Fall_2017
Renovated",2017_Reno,"Winter_2017
Per_renovated","Spring_2017
Per_renovated","Summer_2017
Per_renovated","Fall_2017
Per_renovated",2017_Per_reno
Alabama,7000,6500,7000,7500,28000,1600,440,900,990,3930,23,7,9,13,13,570,1200,690,550,3010,740,500,530,500,2270,11,8,6,7,8
Arizona,31000,22000,26000,27000,106000,6000,2600,4100,6500,19200,19,12,16,22,17.25,2900,12500,5000,1300,21700,0,3000,3200,1100,7300,0,14,12,4,7.5
Arkansas,18000,17000,29000,25000,89000,3500,1900,6000,7500,18900,18,8,21,30,19.25,430,6000,4400,2500,13330,230,1300,410,440,2380,1,5,1,2,2.25
California,1170000,980000,590000,680000,3420000,195000,90000,67000,155000,507000,13,9,10,13,11.25,137000,160000,73000,90000,460000,93000,220000,74000,104000,491000,6,22,11,9,12
Colorado,9500,16500,35000,34000,95000,1100,4500,4300,7000,16900,5,15,10,21,12.75,100,8000,2900,1500,12500,0,7500,6410,4000,17910,0,24,15,12,12.75
Connecticut,3100,3000,3500,4000,13600,380,140,130,330,980,12,5,4,8,7.25,100,2200,50,190,2540,110,350,20,110,590,4,12,1,3,5
Florida,260000,245000,176000,180000,861000,30000,35000,39000,50000,154000,11,14,22,21,17,78000,40000,39000,55000,212000,34000,50000,42000,36000,162000,13,20,23,15,17.75
Georgia,123000,130000,121000,125000,499000,14000,12500,15500,21000,63000,11,9,13,14,11.75,25000,21000,19000,4300,69300,21000,31000,23000,2200,77200,17,23,19,2,15.25
Hawaii,13000,12000,15000,15000,55000,190,70,1100,130,1490,1,1,7,1,2.5,510,3000,430,970,4910,50,920,20,290,1280,0,8,(Z),2,3.333333333
Idaho,95000,61000,89000,113000,358000,8500,10500,12000,9000,40000,9,13,10,5,9.25,2000,22000,9000,10000,43000,280,31000,16500,5000,52780,0,40,14,3,14.25
Illinois,11000,11500,13000,13500,49000,2900,1200,1100,1800,7000,26,10,8,13,14.25,3100,3600,710,140,7550,150,1600,1200,460,3410,1,13,9,3,6.5
Indiana,7000,7500,13000,11500,39000,1900,1200,930,1700,5730,25,11,7,15,14.5,1700,3000,420,320,5440,70,510,740,100,1420,1,5,6,1,3.25
Iowa,10000,12000,40000,45000,107000,3000,2400,2200,6500,14100,19,10,5,14,12,70,23000,2100,250,25420,0,3900,4000,3400,11300,0,17,9,8,8.5
Kansas,3800,3800,7000,6500,21100,1000,390,1700,830,3920,26,7,24,13,17.5,930,2500,1400,140,4970,380,870,1000,40,2290,10,15,14,1,10
Kentucky,6500,7000,9000,7500,30000,1300,900,1600,870,4670,19,12,18,12,15.25,950,3100,450,50,4550,430,590,700,120,1840,6,8,8,2,6
Louisiana,44000,56000,64000,58000,222000,2700,2600,13500,2700,21500,6,4,21,5,9,11000,4100,14500,390,29990,1900,8000,34000,1900,45800,4,13,53,3,18.25
Maine,2700,2200,5500,5500,15900,1000,910,400,60,2370,32,3,7,1,10.75,100,1100,210,220,1630,0,1400,290,110,1800,0,4,5,2,2.75
Maryland,9000,8000,8500,8000,33500,2100,190,1600,1300,5190,23,2,19,12,14,770,3400,1300,20,5490,260,930,600,410,2200,3,10,7,4,6
Massachusetts,3300,2500,9000,6000,20800,1500,140,760,1100,3500,45,2,8,18,18.25,120,1400,790,120,2430,110,490,460,550,1610,3,6,5,9,5.75
Michigan,29000,55000,103000,88000,275000,5000,7500,17500,11500,41500,8,8,16,13,11.25,600,20000,4300,990,25890,130,13500,11500,1900,27030,0,14,11,2,6.75
Minnesota,27000,32000,136000,98000,293000,3500,12000,20000,7000,42500,9,9,15,7,10,3300,19000,1900,1900,26100,0,8500,2200,450,11150,0,7,2,0,2.25
Mississippi,31000,89000,24000,14000,158000,2600,3800,2900,3400,12700,4,4,12,15,8.75,23000,5500,250,280,29030,7000,26000,230,830,34060,10,29,1,4,11
Missouri,7000,6500,9000,9500,32000,1200,270,580,820,2870,16,4,6,9,8.75,400,1800,320,100,2620,10,1000,310,230,1550,0,14,3,2,4.75
Montana,18500,47000,154000,115000,334500,470,3700,18500,13000,35670,1,3,11,11,6.5,3100,18000,3100,5500,29700,6000,18000,23000,2900,49900,13,13,14,2,10.5
Nebraska,7500,7500,46000,42000,103000,750,1500,3700,7500,13450,6,3,8,18,8.75,120,7000,880,80,8080,0,27000,13500,50,40550,0,63,29,0,23
New Jersey,6000,5500,16000,15500,43000,490,430,420,1200,2540,8,2,3,8,5.25,10,1900,280,330,2520,0,660,110,270,1040,0,3,1,2,1.5
New Mexico,5500,7000,8500,8000,29000,2100,1800,2500,1900,8300,38,24,29,24,28.75,3600,3300,1800,1700,10400,0,3900,200,0,4100,0,52,2,0,13.5
New York,32000,25000,59000,51000,167000,6000,1300,6500,3900,17700,18,3,11,8,10,520,16500,3100,820,20940,0,7500,9000,460,16960,0,17,15,1,8.25
North Carolina,16000,24000,26000,23000,89000,2500,3000,3300,5000,13800,11,12,12,22,14.25,3700,5000,4100,60,12860,1200,2700,2900,290,7090,5,11,11,1,7
North Dakota,50000,115000,470000,410000,1045000,640,16000,48000,26000,90640,1,4,10,6,5.25,1100,31000,24000,10000,66100,10,41000,100000,2900,143910,0,9,20,1,7.5
Ohio,15500,13500,23000,18500,70500,4400,1100,1800,2800,10100,25,7,8,15,13.75,1300,7000,1100,510,9910,530,2500,1800,960,5790,3,17,8,5,8.25
Oklahoma,26000,17000,4400,3700,51100,550,200,510,100,1360,2,1,12,0,3.75,9500,4700,80,40,14320,1700,1200,270,0,3170,7,7,6,0,5
Oregon,71000,71000,94000,94000,330000,8000,5000,13500,10000,36500,9,5,13,11,9.5,7500,15500,7500,70,30570,1400,22000,28000,18500,69900,2,24,28,20,18.5
Pennsylvania,17000,15500,18500,24000,75000,4000,540,1500,5500,11540,22,3,8,23,14,810,7500,6000,2500,16810,390,2300,1600,1100,5390,2,13,9,5,7.25
South Carolina,17000,20000,14500,12500,64000,1600,870,1700,2000,6170,9,4,12,13,9.5,4700,3000,640,1300,9640,970,3700,440,750,5860,6,19,3,5,8.25
South Dakota,21000,30000,152000,111000,314000,2700,13000,16500,6500,38700,6,8,10,6,7.5,1500,10000,6000,0,17500,440,23000,7500,0,30940,1,14,5,0,5
Tennessee,8500,8500,10000,8500,35500,1600,1300,1700,1300,5900,19,14,17,12,15.5,1500,2600,800,230,5130,160,1500,960,320,2940,2,17,10,3,8
Texas,275000,345000,104000,127000,851000,49000,28000,15000,20000,112000,14,8,13,7,10.5,130000,43000,21000,3200,197200,68000,148000,7500,1900,225400,20,42,7,1,17.5
Utah,16000,21000,35000,29000,101000,2700,2700,6500,2000,13900,14,9,19,7,12.25,3900,12500,5500,480,22380,60,10000,3200,70,13330,0,32,9,0,10.25
Vermont,6500,6000,7500,6500,26500,440,170,180,470,1260,7,2,2,7,4.5,0,390,520,10,920,0,190,270,10,470,0,2,4,0,1.5
Virginia,8000,8500,11500,9500,37500,1400,1000,1200,1100,4700,18,11,10,12,12.75,1900,3100,430,300,5730,280,1100,430,210,2020,4,12,4,2,5.5
Washington,68000,75000,82000,66000,291000,9000,7000,17000,4000,37000,9,6,18,6,9.75,8500,30000,5500,2900,46900,0,20000,10500,14000,44500,0,18,11,19,12
West Virginia,5500,7500,9000,8500,30500,800,370,930,1200,3300,10,5,10,14,9.75,450,4100,440,70,5060,100,2500,1900,1600,6100,1,33,21,19,18.5
Wisconsin,17000,18000,74000,51000,160000,4400,4000,12500,8500,29400,20,6,17,15,14.5,450,13000,6000,530,19980,70,6500,9000,3000,18570,0,10,12,5,6.75
Wyoming,6500,15000,35000,28000,84500,3600,1300,5500,3500,13900,21,4,15,12,13,1300,6000,3100,2500,12900,0,3500,3500,320,7320,0,12,10,1,5.75
United States,2634900,2688500,2986400,2843700,11153500,397110,285430,393740,424500,1500780,668,323,556,552,11.66111111,478110,612490,283990,204360,1578950,241160,761610,448900,213750,1665420,156,771,474,192,8.868518519
